wavenumber	intensity
1710	0.01098035
1712	0.01789455
1714	0.0207334
1716	0.0174583
1718	0.01468645
1720	0.01737865
1722	0.0212678
1724	0.0193467
1726	0.01218155
1728	0.0111885
1730	0.0170393
1732	0.02143725
1734	0.02066235
1736	0.01758695
1738	0.01595205
1740	0.0184982
1742	0.02230135
1744	0.0213923
1746	0.0178821
1748	0.01693365
1750	0.0164794
1752	0.01481675
1754	0.0119157
1756	0.00910285
1758	0.0094918
1760	0.01326615
1762	0.0172419
1764	0.01875105
1766	0.0178303
1768	0.01723375
1770	0.01976925
1772	0.02336455
1774	0.02315415
1776	0.01805065
1778	0.01218095
1780	0.0104293
1782	0.01294435
1784	0.0169406
1786	0.0213031
1788	0.02199805
1790	0.0163722
1792	0.010051
1794	0.01281065
1796	0.0207868
1798	0.0257961
1800	0.0213776
