wavenumber	intensity
982	0.01106956
984	0.01037948
986	0.00991946
988	0.01006938
990	0.01047208
992	0.0093233
994	0.00887768
996	0.01065342
998	0.01124276
1000	0.00952454
1002	0.00908142
1004	0.0103286
1006	0.01109322
1008	0.01231342
1010	0.01477246
1012	0.0159153
1014	0.01542942
1016	0.01667094
1018	0.02069982
1020	0.02504188
1022	0.0293923
1024	0.03507536
1026	0.04167388
1028	0.04843388
1030	0.0546434
1032	0.06079562
1034	0.0694241
1036	0.08358572
1038	0.10303798
1040	0.12674616
1042	0.15716952
1044	0.19402408
1046	0.2300043
1048	0.25623274
1050	0.27018498
1052	0.27076122
1054	0.25419362
1056	0.22234646
1058	0.18506452
1060	0.15286164
1062	0.12921294
1064	0.1135127
1066	0.1030351
1068	0.09716264
1070	0.09938686
1072	0.11359078
1074	0.14119732
1076	0.18034418
1078	0.2211286
1080	0.24322164
1082	0.2310627
1084	0.1910678
1086	0.14366526
1088	0.10449356
1090	0.0765918
1092	0.0590445
1094	0.04902022
1096	0.0422275
1098	0.0369042
1100	0.03427434
1102	0.0341329
1104	0.03385108
1106	0.03274926
1108	0.03249896
1110	0.03306208
1112	0.03345024
1114	0.03351122
1116	0.03342192
1118	0.03319192
1120	0.03372272
1122	0.03589508
1124	0.03967924
1126	0.04561802
1128	0.05468558
1130	0.06663684
1132	0.08086712
1134	0.09759028
1136	0.11590952
1138	0.13281048
1140	0.1435836
1142	0.14429648
1144	0.13449166
1146	0.11888888
1148	0.10258628
1150	0.08703078
1152	0.0726959
1154	0.06105426
1156	0.052599
1158	0.04790278
1160	0.04841768
1162	0.05321872
1164	0.05854946
1166	0.06173126
1168	0.06179758
1170	0.06002824
1172	0.05743996
1174	0.05325736
1176	0.04881818
1178	0.04671908
1180	0.04701988
1182	0.04950732
1184	0.05539566
1186	0.0635871
1188	0.07136626
1190	0.08063652
1192	0.09573152
1194	0.11844814
1196	0.14514174
1198	0.17162872
1200	0.19874986
1202	0.22189292
1204	0.23285202
1206	0.23373802
1208	0.23298816
1210	0.22972962
1212	0.21747118
1214	0.19959038
1216	0.18204266
1218	0.16653106
1220	0.15151962
1222	0.13655556
1224	0.1223075
1226	0.10890822
1228	0.0960338
1230	0.08302284
1232	0.07010456
1234	0.0586668
1236	0.0497324
1238	0.04265162
1240	0.0369553
1242	0.03285842
1244	0.03009458
1246	0.028327
1248	0.02777622
1250	0.02799624
1252	0.02750816
1254	0.02602128
1256	0.0249327
1258	0.02477476
1260	0.02462886
1262	0.02336604
1264	0.02246284
1266	0.0243132
1268	0.02906508
1270	0.033008
1272	0.03457118
1274	0.03654548
1276	0.04104188
1278	0.04671334
1280	0.05137212
1282	0.0533933
1284	0.05393278
1286	0.05644868
1288	0.06059396
1290	0.06186506
1292	0.05919448
1294	0.05669012
1296	0.0554398
1298	0.05417978
1300	0.05286814
1302	0.0523466
1304	0.05205528
1306	0.0514934
1308	0.05157512
1310	0.0532511
1312	0.05657754
1314	0.05871098
1316	0.05792628
1318	0.05583354
1320	0.05351878
1322	0.05102628
1324	0.04988994
1326	0.05087506
1328	0.05352854
1330	0.05826274
1332	0.0642039
1334	0.06921926
1336	0.07519776
1338	0.08561652
1340	0.09683026
1342	0.1032247
1344	0.10359542
1346	0.10015858
1348	0.0948112
1350	0.09023842
1352	0.08819714
1354	0.08711918
1356	0.08530626
1358	0.08263562
1360	0.07995714
1362	0.07851494
1364	0.07859446
1366	0.07853582
1368	0.07809602
1370	0.07939374
1372	0.08376192
1374	0.09288688
1376	0.11033476
1378	0.13890474
1380	0.1798664
1382	0.23507256
1384	0.30363482
1386	0.37336526
1388	0.41859764
1390	0.41225906
1392	0.35724018
1394	0.28422734
1396	0.22447676
1398	0.18811816
1400	0.17111106
1402	0.16374886
1404	0.1617723
1406	0.16622624
1408	0.17494938
1410	0.1821184
1412	0.18742918
1414	0.19065888
1416	0.18951704
1418	0.1892269
1420	0.19519076
1422	0.20513068
1424	0.21802436
1426	0.24116802
1428	0.27248166
1430	0.29464102
1432	0.29661688
1434	0.2804951
1436	0.25524612
1438	0.22581158
1440	0.19675212
1442	0.17319116
1444	0.15721954
1446	0.14916712
1448	0.14770766
1450	0.14720352
1452	0.14480814
1454	0.14213316
1456	0.13967912
1458	0.13946248
1460	0.14267366
1462	0.14317602
1464	0.1348287
1466	0.1229642
1468	0.11326926
1470	0.10389152
1472	0.09337768
1474	0.08232874
1476	0.07186808
1478	0.06206312
1480	0.05377036
1482	0.0477068
1484	0.04212384
1486	0.03646822
1488	0.0327212
1490	0.03206416
1492	0.0311522
1494	0.02811256
1496	0.02525968
1498	0.02483148
1500	0.02530732
1502	0.02360404
1504	0.01892062
1506	0.01414154
1508	0.01281728
1510	0.0151893
1512	0.01795396
1514	0.01853512
1516	0.01732548
1518	0.01728644
1520	0.01924056
1522	0.02083284
1524	0.01991836
1526	0.01794174
1528	0.01665786
1530	0.01617978
1532	0.01639666
1534	0.01736486
1536	0.0184793
1538	0.01836116
1540	0.01728698
1542	0.0168495
1544	0.01789912
1546	0.01894864
1548	0.01980882
1550	0.02182614
1552	0.02370348
1554	0.02360638
1556	0.02265054
1558	0.02333892
1560	0.02468982
1562	0.02535804
1564	0.02596774
1566	0.02852852
1568	0.03121478
1570	0.030627
1572	0.02827444
1574	0.0281591
1576	0.03082782
1578	0.03401034
1580	0.03626578
1582	0.03667898
1584	0.03633248
1586	0.03795542
1588	0.04144224
1590	0.04417762
1592	0.04451468
1594	0.0456828
1596	0.04937162
1598	0.05338208
1600	0.05623462
1602	0.05922694
1604	0.06335024
1606	0.06862436
1608	0.07407866
1610	0.0776331
1612	0.07968722
1614	0.08455262
1616	0.09407508
1618	0.10580286
1620	0.11553864
1622	0.12231886
1624	0.12746316
1626	0.1331571
1628	0.1416272
1630	0.14968174
1632	0.15295706
1634	0.15297436
1636	0.15378596
1638	0.15249616
1640	0.14566668
1642	0.13853736
1644	0.13422052
1646	0.12987408
1648	0.12266608
1650	0.117347
1652	0.11751978
1654	0.12067714
1656	0.12072184
1658	0.11736944
1660	0.11404124
1662	0.11275134
1664	0.113957
1666	0.11877994
1668	0.1279333
1670	0.14099288
1672	0.15526646
1674	0.16840756
1676	0.18268468
1678	0.20477092
1680	0.24113482
1682	0.29136032
1684	0.34839232
1686	0.41841964
1688	0.50595688
1690	0.59451706
1692	0.65249036
1694	0.65369152
1696	0.59364124
1698	0.49925034
1700	0.40762414
1702	0.33396392
1704	0.27763946
1706	0.23881646
1708	0.21685408
1710	0.20913074
1712	0.2075724
1714	0.20044272
1716	0.18848996
1718	0.18114426
1720	0.18380764
1722	0.19561256
1724	0.21819546
1726	0.2591271
1728	0.3268806
1730	0.41271972
1732	0.49178688
1734	0.53695492
1736	0.52883628
1738	0.47057946
1740	0.38711108
1742	0.30423824
1744	0.23364104
1746	0.18182748
1748	0.14962834
1750	0.12879088
1752	0.11286214
1754	0.09919216
1756	0.0876505
1758	0.07862064
1760	0.07164422
1762	0.06609992
1764	0.06147202
1766	0.05624264
1768	0.0501514
1770	0.0443923
1772	0.03938972
1774	0.03482124
1776	0.03024132
1778	0.02543542
1780	0.02102844
1782	0.01775902
1784	0.01608662
1786	0.01604704
1788	0.01505562
1790	0.01172816
1792	0.00895204
1794	0.01048612
1796	0.0133689
1798	0.01409758
1800	0.0111254
